method,action,qid,question,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls,queries,top_docs,gold_docs
Hybrid original,keep,5ae3b1ba5542992f92d82343,Which university did the third pick by the Philadelphia 76ers in the 2014 NBA draft attend before he was drafted?,0.5,0.2,0.23719771276929622,0.6,0.0,2,Which university did the third pick by the Philadelphia 76ers in the 2014 NBA draft attend before he was drafted?,Ben Simmons | 2016–17 Philadelphia 76ers season | 1973 NBA draft | 1976 NBA draft | Joel Embiid,2015–16 Philadelphia 76ers season | Joel Embiid
Hybrid keyword,keyword_compress,5ae3b1ba5542992f92d82343,Which university did the third pick by the Philadelphia 76ers in the 2014 NBA draft attend before he was drafted?,0.5,0.2,0.23719771276929622,0.6,0.0,2,university third pick philadelphia 76ers 2014 nba draft attend before drafted,Ben Simmons | 1973 NBA draft | 1976 NBA draft | 2016–17 Philadelphia 76ers season | Joel Embiid,2015–16 Philadelphia 76ers season | Joel Embiid
Dense original,keep,5adfc8f45542992d7e9f93d0,What English rock band with Guy Garvey did Joe Duddell work with?,1.0,1.0,0.9197207891481876,1.5,0.0,1,What English rock band with Guy Garvey did Joe Duddell work with?,Joe Duddell | Guy Garvey | Elbow (band) | Zak Starkey | Let It All In,Elbow (band) | Joe Duddell
Dense keyword,keyword_compress,5adfc8f45542992d7e9f93d0,What English rock band with Guy Garvey did Joe Duddell work with?,1.0,1.0,0.9197207891481876,1.5,0.0,1,english rock band guy garvey joe duddell work,Joe Duddell | Guy Garvey | Elbow (band) | Zak Starkey | Let It All In,Elbow (band) | Joe Duddell
Hybrid original,keep,5adfc8f45542992d7e9f93d0,What English rock band with Guy Garvey did Joe Duddell work with?,1.0,1.0,0.8772153153380493,1.5,0.0,2,What English rock band with Guy Garvey did Joe Duddell work with?,Joe Duddell | Guy Garvey | Zak Starkey | Elbow (band) | Let It All In,Elbow (band) | Joe Duddell
Hybrid keyword,keyword_compress,5adfc8f45542992d7e9f93d0,What English rock band with Guy Garvey did Joe Duddell work with?,1.0,1.0,0.9197207891481876,1.5,0.0,2,english rock band guy garvey joe duddell work,Joe Duddell | Guy Garvey | Elbow (band) | Natural History (I Am Kloot album) | Zak Starkey,Elbow (band) | Joe Duddell
Dense original,keep,5ab55e015542992aa134a2d3,The Hong Kong Museum of Coastal Defence is located on an island with a population of what?,1.0,1.0,1.0,1.5,0.0,1,The Hong Kong Museum of Coastal Defence is located on an island with a population of what?,Hong Kong Museum of Coastal Defence | Hong Kong Island | Hong Kong Museum of Education | Hong Kong Museum of Art | Hong Kong Museum of History,Hong Kong Island | Hong Kong Museum of Coastal Defence
Dense keyword,keyword_compress,5ab55e015542992aa134a2d3,The Hong Kong Museum of Coastal Defence is located on an island with a population of what?,1.0,1.0,1.0,1.5,0.0,1,hong kong museum coastal defence located island population,Hong Kong Museum of Coastal Defence | Hong Kong Island | Hong Kong Museum of Education | Hong Kong Museum of History | Hong Kong Museum of Art,Hong Kong Island | Hong Kong Museum of Coastal Defence
Hybrid original,keep,5ab55e015542992aa134a2d3,The Hong Kong Museum of Coastal Defence is located on an island with a population of what?,1.0,1.0,1.0,1.5,0.0,2,The Hong Kong Museum of Coastal Defence is located on an island with a population of what?,Hong Kong Island | Hong Kong Museum of Coastal Defence | Hong Kong Museum of Education | Hong Kong Museum of History | A Kung Ngam,Hong Kong Island | Hong Kong Museum of Coastal Defence
Hybrid keyword,keyword_compress,5ab55e015542992aa134a2d3,The Hong Kong Museum of Coastal Defence is located on an island with a population of what?,1.0,1.0,1.0,1.5,0.0,2,hong kong museum coastal defence located island population,Hong Kong Museum of Coastal Defence | Hong Kong Island | A Kung Ngam | Hong Kong Museum of Education | 32nd Army Corps (Ukraine),Hong Kong Island | Hong Kong Museum of Coastal Defence
Dense original,keep,5ae7909f5542994a481bbda6,Which of the teams for which Colin Kolles is the former team principal and managing director was sold and renamed Force India at the end of the 2007?,1.0,1.0,0.9197207891481876,1.5,0.0,1,Which of the teams for which Colin Kolles is the former team principal and managing director was sold and renamed Force India at the end of the 2007?,Colin Kolles | ByKolles Racing | Spyker F1 | Spyker F8-VII | Midland F1 Racing,Colin Kolles | Spyker F1
Dense keyword,keyword_compress,5ae7909f5542994a481bbda6,Which of the teams for which Colin Kolles is the former team principal and managing director was sold and renamed Force India at the end of the 2007?,1.0,1.0,0.9197207891481876,1.5,0.0,1,teams colin kolles former team principal managing director sold renamed force india end 2007,Colin Kolles | ByKolles Racing | Spyker F1 | Spyker F8-VII | Midland F1 Racing,Colin Kolles | Spyker F1
Hybrid original,keep,5ae7909f5542994a481bbda6,Which of the teams for which Colin Kolles is the former team principal and managing director was sold and renamed Force India at the end of the 2007?,1.0,1.0,1.0,1.5,0.0,2,Which of the teams for which Colin Kolles is the former team principal and managing director was sold and renamed Force India at the end of the 2007?,Colin Kolles | Spyker F1 | ByKolles Racing | Midland F1 Racing | Spyker F8-VII,Colin Kolles | Spyker F1
Hybrid keyword,keyword_compress,5ae7909f5542994a481bbda6,Which of the teams for which Colin Kolles is the former team principal and managing director was sold and renamed Force India at the end of the 2007?,1.0,1.0,1.0,1.5,0.0,2,teams colin kolles former team principal managing director sold renamed force india end 2007,Colin Kolles | Spyker F1 | ByKolles Racing | Midland F1 Racing | Frédéric Vasseur,Colin Kolles | Spyker F1
Dense original,keep,5a88401c5542994846c1ce60,When was the conference the The 1998 West Virginia Mountaineers football team was part of  created?,0.5,0.5,0.38685280723454163,0.75,0.0,1,When was the conference the The 1998 West Virginia Mountaineers football team was part of  created?,1919 West Virginia Mountaineers football team | 1998 West Virginia Mountaineers football team | 1922 West Virginia Mountaineers football team | 2001 West Virginia Mountaineers football team | 1891 West Virginia Mountaineers football team,1998 West Virginia Mountaineers football team | Big East Conference (1979–2013)
Dense keyword,keyword_compress,5a88401c5542994846c1ce60,When was the conference the The 1998 West Virginia Mountaineers football team was part of  created?,0.5,1.0,0.6131471927654584,1.0,0.0,1,conference 1998 west virginia mountaineers football team part created,1998 West Virginia Mountaineers football team | 1919 West Virginia Mountaineers football team | 1891 West Virginia Mountaineers football team | 2001 West Virginia Mountaineers football team | 1922 West Virginia Mountaineers football team,1998 West Virginia Mountaineers football team | Big East Conference (1979–2013)
Hybrid original,keep,5a88401c5542994846c1ce60,When was the conference the The 1998 West Virginia Mountaineers football team was part of  created?,0.5,1.0,0.6131471927654584,1.0,0.0,2,When was the conference the The 1998 West Virginia Mountaineers football team was part of  created?,1998 West Virginia Mountaineers football team | 1919 West Virginia Mountaineers football team | 1891 West Virginia Mountaineers football team | 2001 West Virginia Mountaineers football team | Steve Dunlap,1998 West Virginia Mountaineers football team | Big East Conference (1979–2013)
Hybrid keyword,keyword_compress,5a88401c5542994846c1ce60,When was the conference the The 1998 West Virginia Mountaineers football team was part of  created?,0.5,1.0,0.6131471927654584,1.0,0.0,2,conference 1998 west virginia mountaineers football team part created,1998 West Virginia Mountaineers football team | 1919 West Virginia Mountaineers football team | 1891 West Virginia Mountaineers football team | 1922 West Virginia Mountaineers football team | 2001 West Virginia Mountaineers football team,1998 West Virginia Mountaineers football team | Big East Conference (1979–2013)
Dense original,keep,5a8799c55542996e4f308877,"Jens Risom introduced what type of design, characterized by minimalism and functionality?",1.0,1.0,1.0,1.5,0.0,1,"Jens Risom introduced what type of design, characterized by minimalism and functionality?",Jens Risom | Scandinavian design | Functionality doctrine | Workflow Resource Planning | Extensibility,Jens Risom | Scandinavian design
Dense keyword,keyword_compress,5a8799c55542996e4f308877,"Jens Risom introduced what type of design, characterized by minimalism and functionality?",0.5,0.5,0.38685280723454163,0.75,0.0,1,jens risom introduced type design characterized minimalism functionality,Extensibility | Jens Risom | Functionality doctrine | Workflow Resource Planning | Jacqueline Winsor,Jens Risom | Scandinavian design
Hybrid original,keep,5a8799c55542996e4f308877,"Jens Risom introduced what type of design, characterized by minimalism and functionality?",1.0,1.0,1.0,1.5,0.0,2,"Jens Risom introduced what type of design, characterized by minimalism and functionality?",Jens Risom | Scandinavian design | Functionality doctrine | Jacqueline Winsor | Jens Ritter Instruments,Jens Risom | Scandinavian design
Hybrid keyword,keyword_compress,5a8799c55542996e4f308877,"Jens Risom introduced what type of design, characterized by minimalism and functionality?",1.0,1.0,0.8772153153380493,1.5,0.0,2,jens risom introduced type design characterized minimalism functionality,Jens Risom | Extensibility | Jacqueline Winsor | Scandinavian design | Functionality doctrine,Jens Risom | Scandinavian design
Dense original,keep,5adcaa7f5542990d50227cdb,How many chapters does Yōko Shōji's most famous manga have?,1.0,1.0,0.9197207891481876,1.5,0.0,1,How many chapters does Yōko Shōji's most famous manga have?,Yōko Shōji | Yoko Kamio | Seito Shokun! | Shōji Satō (artist) | Yōko Maki (artist),Seito Shokun! | Yōko Shōji
Dense keyword,keyword_compress,5adcaa7f5542990d50227cdb,How many chapters does Yōko Shōji's most famous manga have?,1.0,0.5,0.6934264036172708,1.25,0.0,1,many chapters y ko sh ji s most famous manga,Shōji Satō (artist) | Seito Shokun! | Yōko Shōji | Ryukyukoku Matsuri Daiko Hawaii | Yoko Kamio,Seito Shokun! | Yōko Shōji
Hybrid original,keep,5adcaa7f5542990d50227cdb,How many chapters does Yōko Shōji's most famous manga have?,1.0,1.0,0.8772153153380493,1.5,0.0,2,How many chapters does Yōko Shōji's most famous manga have?,Yōko Shōji | Shōji Satō (artist) | Yoko Kamio | Seito Shokun! | Gamma Alpha,Seito Shokun! | Yōko Shōji
Hybrid keyword,keyword_compress,5adcaa7f5542990d50227cdb,How many chapters does Yōko Shōji's most famous manga have?,1.0,0.5,0.6934264036172708,1.25,0.0,2,many chapters y ko sh ji s most famous manga,Shōji Satō (artist) | Yōko Shōji | Seito Shokun! | Yoko Kamio | Ryukyukoku Matsuri Daiko Hawaii,Seito Shokun! | Yōko Shōji
Dense original,keep,5ae6179b5542992663a4f25b,Which Hong Kong actor born on 19 August 1946 starred in The Sentimental Swordsman,1.0,1.0,0.8503449055347546,1.5,0.0,1,Which Hong Kong actor born on 19 August 1946 starred in The Sentimental Swordsman,The Sentimental Swordsman | Perils of the Sentimental Swordsman | Cliff Lok | Return of the Sentimental Swordsman | Ti Lung,The Sentimental Swordsman | Ti Lung
Dense keyword,keyword_compress,5ae6179b5542992663a4f25b,Which Hong Kong actor born on 19 August 1946 starred in The Sentimental Swordsman,1.0,1.0,0.8503449055347546,1.5,0.0,1,hong kong actor born 19 august 1946 starred sentimental swordsman,The Sentimental Swordsman | Cliff Lok | Perils of the Sentimental Swordsman | Return of the Sentimental Swordsman | Ti Lung,The Sentimental Swordsman | Ti Lung
Hybrid original,keep,5ae6179b5542992663a4f25b,Which Hong Kong actor born on 19 August 1946 starred in The Sentimental Swordsman,1.0,1.0,1.0,1.5,0.0,2,Which Hong Kong actor born on 19 August 1946 starred in The Sentimental Swordsman,The Sentimental Swordsman | Ti Lung | Cliff Lok | Perils of the Sentimental Swordsman | Return of the Sentimental Swordsman,The Sentimental Swordsman | Ti Lung
Hybrid keyword,keyword_compress,5ae6179b5542992663a4f25b,Which Hong Kong actor born on 19 August 1946 starred in The Sentimental Swordsman,1.0,1.0,1.0,1.5,0.0,2,hong kong actor born 19 august 1946 starred sentimental swordsman,The Sentimental Swordsman | Ti Lung | Cliff Lok | Return of the Sentimental Swordsman | Perils of the Sentimental Swordsman,The Sentimental Swordsman | Ti Lung
Dense original,keep,5ae5b06e554299546bf82f2a,"What was the capacity of the stadium that Colección Privada that was filmed on October 10, 2000?",1.0,0.5,0.6934264036172708,1.25,0.0,1,"What was the capacity of the stadium that Colección Privada that was filmed on October 10, 2000?","Amsterdam Arena | Colección Privada | Palacio de Deportes de la Comunidad de Madrid | July 5, 1962 Stadium | Pokémon Stadium 2",Colección Privada | Palacio de Deportes de la Comunidad de Madrid
Dense keyword,keyword_compress,5ae5b06e554299546bf82f2a,"What was the capacity of the stadium that Colección Privada that was filmed on October 10, 2000?",1.0,1.0,0.8503449055347546,1.5,0.0,1,capacity stadium colecci n privada filmed october 10 2000,"Colección Privada | Amsterdam Arena | July 5, 1962 Stadium | Pokémon Stadium 2 | Palacio de Deportes de la Comunidad de Madrid",Colección Privada | Palacio de Deportes de la Comunidad de Madrid
Hybrid original,keep,5ae5b06e554299546bf82f2a,"What was the capacity of the stadium that Colección Privada that was filmed on October 10, 2000?",0.5,1.0,0.6131471927654584,1.0,0.0,2,"What was the capacity of the stadium that Colección Privada that was filmed on October 10, 2000?","Colección Privada | Amsterdam Arena | La Más Perfecta Colección | July 5, 1962 Stadium | Griswold Stadium",Colección Privada | Palacio de Deportes de la Comunidad de Madrid
Hybrid keyword,keyword_compress,5ae5b06e554299546bf82f2a,"What was the capacity of the stadium that Colección Privada that was filmed on October 10, 2000?",0.5,1.0,0.6131471927654584,1.0,0.0,2,capacity stadium colecci n privada filmed october 10 2000,"Colección Privada | July 5, 1962 Stadium | Amsterdam Arena | La Más Perfecta Colección | Pokémon Stadium 2",Colección Privada | Palacio de Deportes de la Comunidad de Madrid
Dense original,keep,5aba89365542994dbf019932,Who is the television producer who created a 2011 American film based on a novel by Hunter S Thompson?,0.5,1.0,0.6131471927654584,1.0,0.0,1,Who is the television producer who created a 2011 American film based on a novel by Hunter S Thompson?,The Rum Diary (film) | John Stainton | Ross Hunter | Hunter × Hunter: The Last Mission | Hunter × Hunter: Phantom Rouge,Colin Vaines | The Rum Diary (film)
Dense keyword,keyword_compress,5aba89365542994dbf019932,Who is the television producer who created a 2011 American film based on a novel by Hunter S Thompson?,0.5,1.0,0.6131471927654584,1.0,0.0,1,television producer created 2011 american film based novel hunter s thompson,The Rum Diary (film) | John Stainton | Hunter × Hunter: The Last Mission | Hunter × Hunter: Phantom Rouge | Ross Hunter,Colin Vaines | The Rum Diary (film)
Hybrid original,keep,5aba89365542994dbf019932,Who is the television producer who created a 2011 American film based on a novel by Hunter S Thompson?,0.5,1.0,0.6131471927654584,1.0,0.0,2,Who is the television producer who created a 2011 American film based on a novel by Hunter S Thompson?,"The Rum Diary (film) | Hunter × Hunter: Phantom Rouge | John Stainton | A Fairly Odd Movie: Grow Up, Timmy Turner! | Ross Hunter",Colin Vaines | The Rum Diary (film)
Hybrid keyword,keyword_compress,5aba89365542994dbf019932,Who is the television producer who created a 2011 American film based on a novel by Hunter S Thompson?,0.5,1.0,0.6131471927654584,1.0,0.0,2,television producer created 2011 american film based novel hunter s thompson,"The Rum Diary (film) | John Stainton | Tyshane | A Fairly Odd Movie: Grow Up, Timmy Turner! | Hunter × Hunter: The Last Mission",Colin Vaines | The Rum Diary (film)
Dense original,keep,5ade982f554299728e26c753,Where was the rapper in 13 Dead Men from?,1.0,1.0,0.8772153153380493,1.5,0.0,1,Where was the rapper in 13 Dead Men from?,13 Dead Men | 13 Dead End Drive | 1313 Dead End Drive | Mystikal | City of Dead Men,13 Dead Men | Mystikal
Dense keyword,keyword_compress,5ade982f554299728e26c753,Where was the rapper in 13 Dead Men from?,0.5,1.0,0.6131471927654584,1.0,0.0,1,rapper 13 dead men,13 Dead Men | 13 Dead End Drive | 1313 Dead End Drive | Ten Dead Men | City of Dead Men,13 Dead Men | Mystikal
Hybrid original,keep,5ade982f554299728e26c753,Where was the rapper in 13 Dead Men from?,0.5,1.0,0.6131471927654584,1.0,0.0,2,Where was the rapper in 13 Dead Men from?,"13 Dead Men | 13 Dead End Drive | 1313 Dead End Drive | Where the Dead Men Lie | Where the Dead Men Lie, and Other Poems",13 Dead Men | Mystikal
Hybrid keyword,keyword_compress,5ade982f554299728e26c753,Where was the rapper in 13 Dead Men from?,1.0,1.0,0.8503449055347546,1.5,0.0,2,rapper 13 dead men,13 Dead Men | 13 Dead End Drive | 1313 Dead End Drive | Ten Dead Men | Mystikal,13 Dead Men | Mystikal
Dense original,keep,5ac401bb55429919431738f4,Who worked on the origins of Mickey Mouse and created Oswald the Lucky Rabbit?,0.5,0.5,0.38685280723454163,0.75,0.0,1,Who worked on the origins of Mickey Mouse and created Oswald the Lucky Rabbit?,Oswald the Lucky Rabbit | Ub Iwerks | Epic Mickey | Poor Papa | Building a Building,Les Clark | Ub Iwerks
Dense keyword,keyword_compress,5ac401bb55429919431738f4,Who worked on the origins of Mickey Mouse and created Oswald the Lucky Rabbit?,0.5,0.5,0.38685280723454163,0.75,0.0,1,worked origins mickey mouse created oswald lucky rabbit,Oswald the Lucky Rabbit | Ub Iwerks | Epic Mickey | Building a Building | Poor Papa,Les Clark | Ub Iwerks
Hybrid original,keep,5ac401bb55429919431738f4,Who worked on the origins of Mickey Mouse and created Oswald the Lucky Rabbit?,1.0,0.25,0.5012658353418871,1.125,0.0,2,Who worked on the origins of Mickey Mouse and created Oswald the Lucky Rabbit?,Oswald the Lucky Rabbit | Leslie Iwerks | Epic Mickey | Ub Iwerks | Les Clark,Les Clark | Ub Iwerks
Hybrid keyword,keyword_compress,5ac401bb55429919431738f4,Who worked on the origins of Mickey Mouse and created Oswald the Lucky Rabbit?,1.0,0.3333333333333333,0.5706417189553201,1.1666666666666667,0.0,2,worked origins mickey mouse created oswald lucky rabbit,Oswald the Lucky Rabbit | Leslie Iwerks | Les Clark | Ub Iwerks | Poor Papa,Les Clark | Ub Iwerks
Dense original,keep,5a8a07725542992d82986e5b,"Along side Thomas Alan, which singer's first three albums were recorded at The Boarding House?",1.0,0.3333333333333333,0.5706417189553201,1.1666666666666667,0.0,1,"Along side Thomas Alan, which singer's first three albums were recorded at The Boarding House?",Live at the Boarding House | Live at the Boarding House: The Complete Shows | The Boarding House (nightclub) | Tom Waits | The Cure: 'Reflections',The Boarding House (nightclub) | Tom Waits
Dense keyword,keyword_compress,5a8a07725542992d82986e5b,"Along side Thomas Alan, which singer's first three albums were recorded at The Boarding House?",1.0,0.3333333333333333,0.5706417189553201,1.1666666666666667,0.0,1,along side thomas alan singer s first three albums recorded boarding house,Live at the Boarding House | Live at the Boarding House: The Complete Shows | The Boarding House (nightclub) | Tom Waits | Brann Boardinghouse,The Boarding House (nightclub) | Tom Waits
Hybrid original,keep,5a8a07725542992d82986e5b,"Along side Thomas Alan, which singer's first three albums were recorded at The Boarding House?",1.0,0.25,0.5012658353418871,1.125,0.0,2,"Along side Thomas Alan, which singer's first three albums were recorded at The Boarding House?",Live at the Boarding House | The Cure: 'Reflections' | Live at the Boarding House: The Complete Shows | Tom Waits | The Boarding House (nightclub),The Boarding House (nightclub) | Tom Waits
Hybrid keyword,keyword_compress,5a8a07725542992d82986e5b,"Along side Thomas Alan, which singer's first three albums were recorded at The Boarding House?",1.0,1.0,0.9197207891481876,1.5,0.0,2,along side thomas alan singer s first three albums recorded boarding house,Tom Waits | Live at the Boarding House | The Boarding House (nightclub) | Live at the Boarding House: The Complete Shows | The Cure: 'Reflections',The Boarding House (nightclub) | Tom Waits
Dense original,keep,5a7b55bc55429927d897bf98,How many assists did the Bosnian football player account for during the 2008–09 VfL Wolfsburg season?,1.0,1.0,1.0,1.5,0.0,1,How many assists did the Bosnian football player account for during the 2008–09 VfL Wolfsburg season?,2008–09 VfL Wolfsburg season | Zvjezdan Misimović | 2015–16 VfL Wolfsburg season | 2014–15 VfL Wolfsburg season | 2012–13 VfL Wolfsburg season,2008–09 VfL Wolfsburg season | Zvjezdan Misimović
Dense keyword,keyword_compress,5a7b55bc55429927d897bf98,How many assists did the Bosnian football player account for during the 2008–09 VfL Wolfsburg season?,0.5,1.0,0.6131471927654584,1.0,0.0,1,many assists bosnian football player account during 2008 09 vfl wolfsburg season,2008–09 VfL Wolfsburg season | 2014–15 VfL Wolfsburg season | 2015–16 VfL Wolfsburg season | VfL Wolfsburg II | 2012–13 VfL Wolfsburg season,2008–09 VfL Wolfsburg season | Zvjezdan Misimović
Hybrid original,keep,5a7b55bc55429927d897bf98,How many assists did the Bosnian football player account for during the 2008–09 VfL Wolfsburg season?,1.0,1.0,1.0,1.5,0.0,2,How many assists did the Bosnian football player account for during the 2008–09 VfL Wolfsburg season?,2008–09 VfL Wolfsburg season | Zvjezdan Misimović | 2015–16 VfL Wolfsburg season | 2014–15 VfL Wolfsburg season | 2017–18 VfL Wolfsburg season,2008–09 VfL Wolfsburg season | Zvjezdan Misimović
Hybrid keyword,keyword_compress,5a7b55bc55429927d897bf98,How many assists did the Bosnian football player account for during the 2008–09 VfL Wolfsburg season?,1.0,1.0,0.9197207891481876,1.5,0.0,2,many assists bosnian football player account during 2008 09 vfl wolfsburg season,2008–09 VfL Wolfsburg season | 2014–15 VfL Wolfsburg season | Zvjezdan Misimović | 2012–13 VfL Wolfsburg season | 2015–16 VfL Wolfsburg season,2008–09 VfL Wolfsburg season | Zvjezdan Misimović
Dense original,keep,5a769b115542993569682c51,What American bluegrass singer performed the song Restless with The New Nashville Cats?,0.5,0.25,0.2640681225725909,0.625,0.0,1,What American bluegrass singer performed the song Restless with The New Nashville Cats?,The New Nashville Cats | Rhonda Vincent | Larry Sparks | Restless (Carl Perkins song) | Hazel Dickens,Mark O'Connor | Restless (Carl Perkins song)
Dense keyword,keyword_compress,5a769b115542993569682c51,What American bluegrass singer performed the song Restless with The New Nashville Cats?,0.5,0.25,0.2640681225725909,0.625,0.0,1,american bluegrass singer performed song restless new nashville cats,The New Nashville Cats | Rhonda Vincent | Hazel Dickens | Restless (Carl Perkins song) | Larry Sparks,Mark O'Connor | Restless (Carl Perkins song)
Hybrid original,keep,5a769b115542993569682c51,What American bluegrass singer performed the song Restless with The New Nashville Cats?,0.5,0.5,0.38685280723454163,0.75,0.0,2,What American bluegrass singer performed the song Restless with The New Nashville Cats?,The New Nashville Cats | Restless (Carl Perkins song) | Rhonda Vincent | Alice Gerrard | Larry Sparks,Mark O'Connor | Restless (Carl Perkins song)
Hybrid keyword,keyword_compress,5a769b115542993569682c51,What American bluegrass singer performed the song Restless with The New Nashville Cats?,0.5,0.5,0.38685280723454163,0.75,0.0,2,american bluegrass singer performed song restless new nashville cats,The New Nashville Cats | Restless (Carl Perkins song) | Rhonda Vincent | Alice Gerrard | Hazel Dickens,Mark O'Connor | Restless (Carl Perkins song)
Dense original,keep,5ae5736e5542990ba0bbb2b3,"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?",1.0,1.0,1.0,1.5,0.0,1,"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?","Paul Manafort | Trump campaign–Russian meeting | Donald Trump presidential campaign, 2000 | Brad Parscale | Tony Fabrizio",Paul Manafort | Trump campaign–Russian meeting
Dense keyword,keyword_compress,5ae5736e5542990ba0bbb2b3,"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?",1.0,1.0,1.0,1.5,0.0,1,american lawyer lobbyist political consultant senior member presidential campaign donald trump born,"Paul Manafort | Trump campaign–Russian meeting | Donald Trump presidential campaign, 2000 | Brad Parscale | Tony Fabrizio",Paul Manafort | Trump campaign–Russian meeting
Hybrid original,keep,5ae5736e5542990ba0bbb2b3,"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?",1.0,1.0,0.9197207891481876,1.5,0.0,2,"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?","Paul Manafort | David Urban | Trump campaign–Russian meeting | Brad Parscale | Donald Trump presidential campaign, 2000",Paul Manafort | Trump campaign–Russian meeting
Hybrid keyword,keyword_compress,5ae5736e5542990ba0bbb2b3,"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?",1.0,1.0,1.0,1.5,0.0,2,american lawyer lobbyist political consultant senior member presidential campaign donald trump born,Paul Manafort | Trump campaign–Russian meeting | Brad Parscale | David Urban | Tony Fabrizio,Paul Manafort | Trump campaign–Russian meeting
Dense original,keep,5ae2125e554299495565d9db,"On what street would one find the ""Journal Record Building"" in Oklahoma?",1.0,0.5,0.6934264036172708,1.25,0.0,1,"On what street would one find the ""Journal Record Building"" in Oklahoma?",The Journal Record | Journal Record Building | Oklahoma City National Memorial | Alaska Trade Building | Josh Holliday,Journal Record Building | Oklahoma City National Memorial
Dense keyword,keyword_compress,5ae2125e554299495565d9db,"On what street would one find the ""Journal Record Building"" in Oklahoma?",1.0,0.5,0.6934264036172708,1.25,0.0,1,street would one find journal record building oklahoma,The Journal Record | Journal Record Building | Oklahoma City National Memorial | Alaska Trade Building | G. S. Street,Journal Record Building | Oklahoma City National Memorial
Hybrid original,keep,5ae2125e554299495565d9db,"On what street would one find the ""Journal Record Building"" in Oklahoma?",1.0,1.0,0.9197207891481876,1.5,0.0,2,"On what street would one find the ""Journal Record Building"" in Oklahoma?",Journal Record Building | The Journal Record | Oklahoma City National Memorial | Alaska Trade Building | The Purple Land,Journal Record Building | Oklahoma City National Memorial
Hybrid keyword,keyword_compress,5ae2125e554299495565d9db,"On what street would one find the ""Journal Record Building"" in Oklahoma?",1.0,1.0,0.9197207891481876,1.5,0.0,2,street would one find journal record building oklahoma,Journal Record Building | The Journal Record | Oklahoma City National Memorial | Alaska Trade Building | G. S. Street,Journal Record Building | Oklahoma City National Memorial
Dense original,keep,5adfc06d55429906c02daa2a,"What is the name of the largest shipping facility in the Northeastern United States, where the Boston Red Socks play?",1.0,0.5,0.6509209298071326,1.25,0.0,1,"What is the name of the largest shipping facility in the Northeastern United States, where the Boston Red Socks play?",Transportation in Boston | Congress Street Grounds | Newark Bay | Boston Harbor | Braves Field,Boston Harbor | Congress Street Grounds
Dense keyword,keyword_compress,5adfc06d55429906c02daa2a,"What is the name of the largest shipping facility in the Northeastern United States, where the Boston Red Socks play?",1.0,0.5,0.6934264036172708,1.25,0.0,1,name largest shipping facility northeastern united states boston red socks play,Transportation in Boston | Congress Street Grounds | Boston Harbor | Newark Bay | Braves Field,Boston Harbor | Congress Street Grounds
Hybrid original,keep,5adfc06d55429906c02daa2a,"What is the name of the largest shipping facility in the Northeastern United States, where the Boston Red Socks play?",1.0,0.25,0.5012658353418871,1.125,0.0,2,"What is the name of the largest shipping facility in the Northeastern United States, where the Boston Red Socks play?",Army United F.C. | Transportation in Boston | Newark Bay | Boston Harbor | Congress Street Grounds,Boston Harbor | Congress Street Grounds
Hybrid keyword,keyword_compress,5adfc06d55429906c02daa2a,"What is the name of the largest shipping facility in the Northeastern United States, where the Boston Red Socks play?",1.0,0.3333333333333333,0.5437713091520254,1.1666666666666667,0.0,2,name largest shipping facility northeastern united states boston red socks play,Army United F.C. | Transportation in Boston | Boston Harbor | Newark Bay | Congress Street Grounds,Boston Harbor | Congress Street Grounds
Dense original,keep,5a7b22f8554299042af8f6ff,Who was the opponent of the Republican of Indenosia when Nugroho Notosusanto served as a member of the Student Army,1.0,1.0,0.8503449055347546,1.5,0.0,1,Who was the opponent of the Republican of Indenosia when Nugroho Notosusanto served as a member of the Student Army,Nugroho Notosusanto | Iwan Simatupang | Donald Trahan | Jonathan Paton | Indonesian National Revolution,Indonesian National Revolution | Nugroho Notosusanto
Dense keyword,keyword_compress,5a7b22f8554299042af8f6ff,Who was the opponent of the Republican of Indenosia when Nugroho Notosusanto served as a member of the Student Army,0.5,1.0,0.6131471927654584,1.0,0.0,1,opponent republican indenosia nugroho notosusanto served member student army,Nugroho Notosusanto | Donald Trahan | Iwan Simatupang | Jonathan Paton | Charles Djou,Indonesian National Revolution | Nugroho Notosusanto
Hybrid original,keep,5a7b22f8554299042af8f6ff,Who was the opponent of the Republican of Indenosia when Nugroho Notosusanto served as a member of the Student Army,0.5,1.0,0.6131471927654584,1.0,0.0,2,Who was the opponent of the Republican of Indenosia when Nugroho Notosusanto served as a member of the Student Army,Nugroho Notosusanto | Donald Trahan | Iwan Simatupang | Jeb Hensarling | Charles Djou,Indonesian National Revolution | Nugroho Notosusanto
